Targeting,Match Type,Bid Value,Suggested lower bid range,Suggested upper bid range,Impressions,Spend,Click-Thru Rate (CTR),Total Return on Advertising Spend (RoAS),Clicks,14 Day Total Sales (₹),14 Day Conversion Rate,14 Day Total Units (#),14 Day Total Orders (#),Category
pain relief oil,EXACT,42.295,7.36066535239386,78.2175561022804,455.0,84.59,0.0043956043956044,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,42.455,34.2037315366262,40.8005482466572,519.0,169.82,0.00770712909441233,0.0,4.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,39.84,8.54813159692242,58.0904164343634,624.0,39.84,0.0016025641025641,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,38.6133333333333,30.7190820363115,48.7826060490626,545.0,115.84,0.0055045871559633,0.0,3.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,30.46,26.4807588444385,2.41755793751498,721.0,60.92,0.00277392510402219,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,38.1375,12.6043301524652,3.38644905272092,669.0,152.55,0.00597907324364723,0.0,4.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,27.305,17.1811697466267,1.59554715087125,540.0,54.61,0.0037037037037037,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,27.305,17.1811697466267,1.59554715087125,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,27.305,17.1811697466267,1.59554715087125,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,62.23,4.22316176712005,89.7259196519659,236.0,62.23,0.00423728813559322,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,62.23,4.22316176712005,89.7259196519659,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,55.5,33.336326977884,6.7934319450754,363.0,55.5,0.00275482093663912,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,55.5,33.336326977884,6.7934319450754,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,25.27,1.5044140174684,41.268500500934,371.0,25.27,0.00269541778975741,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,61.335,22.3297718131329,57.1406228335656,717.0,122.67,0.00278940027894003,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil,EXACT,62.96,22.1774719151374,61.0609172364896,522.0,62.96,0.00191570881226054,4.80749682337992,1.0,302.68,1.0,1.0,1.0,['Косметика']
knee oil for pain,EXACT,38.12,28.4439523065965,4.60703313885778,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,38.12,28.4439523065965,4.60703313885778,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,38.12,28.4439523065965,4.60703313885778,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,38.12,28.4439523065965,4.60703313885778,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,38.12,28.4439523065965,4.60703313885778,62.0,38.12,0.0161290322580645,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,38.12,14.6917386393947,6.8501647756819,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,38.12,14.6917386393947,6.8501647756819,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,32.0,30.93,0.03125,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
knee oil for pain,EXACT,30.93,14.6917386393947,6.8501647756819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain relief oil natural,EXACT,38.12,14.6917386393947,6.8501647756819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,38.12,14.6917386393947,6.8501647756819,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,23.6,16.7669501738692,38.1817591955734,669.0,23.6,0.00149476831091181,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,28.415,27.471789750677,24.8039196838538,660.0,56.83,0.00303030303030303,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,28.415,27.471789750677,24.8039196838538,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,41.05,29.2980272023244,45.1450239369046,766.0,82.1,0.00261096605744125,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,20.32,20.2565878946998,9.34361197780378,675.0,20.32,0.00148148148148148,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,45.76,42.306782927673,90.4932917888876,592.0,45.76,0.00168918918918919,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,28.41,2.68301204844722,53.0579095281083,665.0,28.41,0.00150375939849624,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,28.41,2.68301204844722,53.0579095281083,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,28.41,2.68301204844722,53.0579095281083,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,46.6,2.40288315882142,5.8771758353094,832.0,46.6,0.00120192307692308,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,46.6,2.40288315882142,5.8771758353094,778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,46.6,2.40288315882142,5.8771758353094,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,46.6,2.40288315882142,5.8771758353094,839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,46.6,2.40288315882142,5.8771758353094,948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,46.6,2.40288315882142,5.8771758353094,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
