Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Impressions,Clicks,Click-Thru Rate (CTR),Bid Value,Suggested lower bid range,Suggested upper bid range,Spend,Total Advertising Cost of Sales (ACoS),Total Return on Advertising Spend (RoAS),14 Day Total Sales (₹),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate
2020-02-10,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,19,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-11,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,7,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-12,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,10,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-13,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,17,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-14,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,14,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-15,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,4,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-16,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,10,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-17,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,6,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-18,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,1,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-19,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,1,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-20,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,2,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-21,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee oil for pain,EXACT,1,0,0.0,₹ 30.93,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-04,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,pain relief oil natural,EXACT,1,0,0.0,₹ 38.12,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-01,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,ortho oil,PHRASE,510,0,0.0,₹ 38.12,₹ 14.69,₹ 6.85,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-04,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,ortho oil,PHRASE,530,0,0.0,₹ 28.42,₹ 27.47,₹ 24.80,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-09,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,ortho oil,PHRASE,920,0,0.0,₹ 28.41,₹ 2.68,₹ 53.06,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-10,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,ortho oil,PHRASE,800,0,0.0,₹ 28.41,₹ 2.68,₹ 53.06,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-12,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,ortho oil,PHRASE,778,0,0.0,₹ 46.60,₹ 2.40,₹ 5.88,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-13,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,ortho oil,PHRASE,913,0,0.0,₹ 46.60,₹ 2.40,₹ 5.88,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-14,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,ortho oil,PHRASE,839,0,0.0,₹ 46.60,₹ 2.40,₹ 5.88,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-15,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,ortho oil,PHRASE,948,0,0.0,₹ 46.60,₹ 2.40,₹ 5.88,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
